hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc,mean_thr
256,0.001,0.0001,0.5,2,0.75,1000,0.9985628858024691,0.0027977063979626672,0.9974999023399352,0.9975077639751554,0.9675146549940109
512,0.001,0.0001,0.5,1,0.5,1000,0.998531635802469,0.0028601924457727916,0.9974999023399352,0.9975077639751554,-1.677419090270996
256,0.001,0.0001,0.3,2,0.5,700,0.9985312499999999,0.002937499999999993,0.9987421383647799,0.99875,-1.0724066734313964
256,0.001,0.0001,0.3,2,0.5,1000,0.9984999999999999,0.0029999999999999805,0.9987421383647799,0.99875,-1.3659792423248291
256,0.001,0.0001,0.3,2,0.5,400,0.99846875,0.003062499999999968,0.9987421383647799,0.99875,-1.4353633046150207
256,0.0002,1e-05,0.5,2,0.5,700,0.9984494598765433,0.0019838743255994927,0.9975151444997492,0.9975077639751554,1.5225037932395935
256,0.0002,1e-05,0.5,2,0.75,1000,0.9984425154320988,0.0022502795438886867,0.9975151444997492,0.9975077639751554,2.0279756665229796
512,0.001,1e-05,0.5,2,0.75,700,0.9984378858024691,0.0030476540223290578,0.9974999023399352,0.9975077639751554,-0.9341993570327759
512,0.001,1e-05,0.5,1,0.5,700,0.9984375,0.003125,0.9987421383647799,0.99875,-3.4297963857650755
256,0.001,1e-05,0.3,2,0.5,400,0.9984375,0.003125,0.9987421383647799,0.99875,0.6612380042672157
256,0.0002,1e-05,0.3,2,0.75,700,0.9984178240740741,0.0019841203979167137,0.9975151444997492,0.9975077639751554,1.4293177843093872
512,0.001,0.0001,0.5,2,0.5,400,0.99840625,0.0031874999999999877,0.9987421383647799,0.99875,-0.26285154819488527
512,0.001,0.0001,0.3,2,0.5,400,0.99840625,0.0031874999999999877,0.9987421383647799,0.99875,-1.7475723877549172
256,0.0002,1e-05,0.5,2,0.5,1000,0.9983823302469135,0.0021023719976490775,0.9975151444997492,0.9975077639751554,1.1761177003383636
256,0.001,0.0001,0.3,1,0.75,700,0.9983549382716049,0.002027794219825489,0.9975151444997492,0.9975077639751554,2.152216684818268
256,0.001,1e-05,0.3,1,0.5,700,0.9983472222222222,0.002665943188895757,0.9975151444997492,0.9975077639751554,-0.10709583461284637
128,0.001,1e-05,0.5,2,0.5,400,0.9983452932098766,0.003010280077726506,0.9975151444997492,0.9975077639751554,1.299864912033081
256,0.001,1e-05,0.3,2,0.5,700,0.9983437500000001,0.0033125000000000073,0.9987421383647799,0.99875,-0.9362699523568153
512,0.001,0.0001,0.5,1,0.5,400,0.99825,0.00349999999999997,0.9987421383647799,0.99875,-2.537102556228638
256,0.0002,0.0001,0.3,2,0.75,1000,0.9982322530864198,0.0022523363583234414,0.9975151444997492,0.9975077639751554,1.394942331314087
128,0.001,1e-05,0.3,2,0.5,400,0.99821875,0.003562500000000002,0.9987421383647799,0.99875,1.7381834983825684
512,0.001,0.0001,0.3,2,0.75,400,0.99821875,0.003562500000000002,0.9987421383647799,0.99875,-1.6477037906646728
256,0.0002,0.0001,0.5,2,0.75,400,0.9981639660493828,0.002441502513439022,0.9975151444997492,0.9975077639751554,0.1637514814734459
128,0.001,0.0001,0.3,2,0.75,400,0.9981562499999999,0.003687499999999977,0.9987421383647799,0.99875,0.7506125926971435
128,0.001,0.0001,0.3,2,0.75,700,0.9981273148148148,0.0033019387049502092,0.9975151444997492,0.9975077639751554,2.2357410907745363
256,0.0002,1e-05,0.5,2,0.75,400,0.9981003086419754,0.002687155159304204,0.9975151444997492,0.9975077639751554,0.8998639822006226
256,0.001,1e-05,0.5,1,0.5,1000,0.99809375,0.0038124999999999964,0.9987421383647799,0.99875,-2.2552456974983217
128,0.001,1e-05,0.3,2,0.75,1000,0.99809375,0.0038124999999999964,0.9987421383647799,0.99875,1.2124925509095192
256,0.001,1e-05,0.5,2,0.75,700,0.998062885802469,0.0037975382673082468,0.9974999023399352,0.9975077639751554,-1.1947243511676788
128,0.001,0.0001,0.5,2,0.75,1000,0.9980625,0.003874999999999984,0.9987421383647799,0.99875,2.4018784523010255
128,0.001,0.0001,0.3,2,0.5,700,0.9980625,0.003874999999999984,0.9987421383647799,0.99875,-0.4907218933105469
256,0.0002,0.0001,0.3,2,0.75,700,0.9980181327160494,0.002829273299592589,0.9975151444997492,0.9975077639751554,1.1688421607017516
256,0.0002,0.0001,0.5,2,0.75,700,0.9980177469135804,0.0027805032068622774,0.9975151444997492,0.9975077639751554,1.065166425704956
512,0.001,0.0001,0.5,1,0.75,400,0.9980003858024691,0.00392252327806719,0.9974999023399352,0.9975077639751554,-2.3700950384140014
